SKU Codigo SAP,DescripciO del articulo,Observacion,Isometrico
VBAN05-0003-000-0100,MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS BLANCO,,
VBAN05-0009-000-0100,MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO,,
VBAN05-0010-000-0100,RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO,,
VBAN05-0012-000-0100,MUEBLE MONET ELEVADO LVM 63X48 BLANCO,,
VBAN05-0015-000-0100,MUEBLE BASICO PISO LVM 63X48 BLANCO,,
VBAN05-0019-000-0100,MUEBLE TIZIANO ELEVADO LVM 79X48 BLANCO,,
VBAN05-0020-000-0100,RH MUEBLE TIZIANO ELEVADO LVM 79X48 BLANCO,,
VBAN05-0022-000-0100,RH MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS BLANCO,,
VBAN05-0025-000-0100,RH MUEBLE MONET ELEVADO LVM 63X48 BLANCO,,
VBAN05-0029-000-0100,RH MUEBLE BASICO PISO LVM 48X38 BLANCO,,
VBAN05-0029-CME-0100,RH MUEBLE BASICO PISO LVM 48X38 BLANCO - MANIJA NEGRA,,
VBAN05-0029-MRH-0100,RH MUEBLE BASICO PISO LVM 48X38 BLANCO,,
VBAN05-0033-000-0100,RH MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS BLANCO,,
VBAN05-0033-PRO-0100,RH MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS PROMART BLANCO,,
VBAN05-0039-000-0100,MUEBLE VALDEZ PISO LVM 48X43 BLANCO,,
VBAN05-0051-000-0100,MUEBLE VALDEZ ELEVADO LVM 48X43 BLANCO,,
VBAN05-0052-000-0100,RH MUEBLE VALDEZ PISO LVM 48X43 BLANCO,,
VBAN05-0058-000-0100,RH MUEBLE VALDEZ ELEVADO LVM 48X43 BLANCO,,
VBAN05-0059-000-0100,MUEBLE BASICO PISO LVM 79X48 BLANCO,,
VBAN05-0060-000-0100,MUEBLE BASICO PISO LVM 94X48 BLANCO,,
VBAN05-0061-MRH-0100,RH MUEBLE BASICO PISO LVM 124X48 BLANCO,,
VBAN05-0063-000-0100,MUEBLE RAYO 40X30 BLANCO,,
VBAN05-0065-000-0100,MUEBLE LVM TIZIANO ELEVADO 63X48 BLANCO,,
VBAN05-0068-000-0100,RH MUEBLE RAYO 40X30 BLANCO,,
VBAN05-0070-000-0100,RH MUEBLE BASICO PISO LVM 40X30 CON MANIJAS BLANCO,,
VBAN05-0071-000-0100,MUEBLE RAYO 63X48 BLANCO,,
VBAN05-0077-000-0100,MUEBLE MACAO LIFE LVM 79X48 BLANCO,,
VBAN05-0078-000-0100,MUEBLE MACAO LIFE LVM 63X48 BLANCO,,
VBAN05-0081-000-0100,RH MUEBLE SOPORTE 48X43 BLANCO,,
VBAN05-0082-000-0100,RH MUEBLE SOPORTE 40X30 BLANCO,,
VBAN05-0083-000-0100,RH MUEBLE SOPORTE 63x48 BLANCO,,
VBAN05-0084-000-0100,RH MUEBLE SOPORTE 48X38 BLANCO,,
VBAN05-0087-000-0100,RH MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS BLANCO,,
VBAN05-0088-000-0100,MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS BLANCO,,
VBAN05-0089-MRH-0100,RH MUEBLE LVM TIZIANO ELEVADO 63X48 BLANCO,,
VBAN05-0092-000-0100,RH MUEBLE BASICO PISO LVM 63X48 BLANCO,,
VBAN05-0093-000-0100,RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS BLANCO,,
VBAN05-0094-000-0100,MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS BLANCO,,
VBAN05-0096-000-0100,RH MUEBLE MACAO LIFE LVM 63X48 BLANCO,,
VBAN05-0098-000-0100,RH MUEBLE LVM TIZIANO ELEVADO 124X48 BLANCO,,
VBAN05-0099-000-0100,RH MUEBLE BASICO PISO LVM 79X48 BLANCO,,
VBAN05-0100-000-0100,MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS BLANCO,,
VBAN05-0101-000-0100,RH MUEBLE BASICO PISO LVM 94X48 BLANCO,,
VBAN05-0102-000-0100,RH MUEBLE LVM TIZIANO ELEVADO 94X48 BLANCO,,
VBAN05-0103-000-0100,RH MUEBLE RAYO 63X48 BLANCO,,
VBAN05-0104-000-0100,RH MUEBLE RAYO 48X38 BLANCO,,
VBAN05-0105-000-0100,RH MUEBLE RAYO 48X43 BLANCO,,
VBAN05-0106-000-0100,RH MUEBLE MACAO LIFE LVM 79X48 BLANCO,,
VBAN05-0107-000-0100,RH MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS BLANCO,,
VBAN05-0110-MRH-0100,RH MUEBLE BASICO PISO LVM 48X43 BLANCO,,
VBAN05-0111-CHT-0100,RH MUEBLE BASICO PISO LVM 40X30 SIN MANIJAS BLANCO-CHILEMAT,,
VBAN05-0111-MRH-0100,RH MUEBLE BASICO PISO LVM 40X30 SIN MANIJAS BLANCO,,
VBAN05-0112-CHT-0100,RH MUEBLE BASICO ELEVADO LVM 40X30 SIN MANIJAS BLANCO-CHILEMAT,,
VBAN05-0112-DAC-0100,RH MUEBLE BASICO ELEVADO LVM 40X30 SIN MANIJAS D-ACQUA BLANCO,,
VBAN05-0112-MRH-0100,RH MUEBLE BASICO ELEVADO LVM 40X30 SIN MANIJAS BLANCO,,
VBAN05-0113-DAC-0100,RH MUEBLE BASICO ELEVADO LVM 40X30 CON MANIJAS D-ACQUA BLANCO,,
VBAN05-0113-MRH-0100,RH MUEBLE BASICO ELEVADO LVM 40X30 CON MANIJAS BLANCO,,
VBAN05-0114-MRH-0100,RH MUEBLE MISUS LIFE LVM 79X48 BLANCO,,
VBAN05-0116-MRH-0100,RH MUEBLE VALDEZ PISO LVM 63X48 BLANCO,,
VBAN05-0119-MRH-0100,RH MUEBLE BASICO ELEVADO LVM 48X38 SIN MANIJAS BLANCO,,
VBAN05-0125-MRH-0100,RH MUEBLE DA VINCI PISO LVM 48X43 BLANCO,,
VBAN05-0126-MRH-0100,RH MUEBLE POLOCK ELEVADO LVM 48X43 BLANCO,,
VBAN05-0127-MRH-0100,RH MUEBLE MACAO LIFE LVM 48X43 CANTO 2MM FULL EXTENSION BLANCO,,
VBAN05-0128-MRH-0100,RH MUEBLE POLOCK ELEVADO LVM 48X38 BLANCO,,
VBAN05-0130-MRH-0100,RH MUEBLE LVM PICASSO LIFE ELEVADO 63X48 BLANCO,,
VBAN05-0131-MRH-0100,RH MUEBLE BASICO ELEVEADO 63X48 PUERTA SHAKER BLANCO,,
VBAN05-0132-MRH-0100,RH MUEBLE VEGA PISO 63X48 BLANCO,,
VBAN05-0134-MRH-0100,RH MUEBLE BASICO ELEVADO 60X40 SIN MANIJAS BLANCO,,
VBAN05-0135-MRH-0100,RH MUEBLE BASICO ELEVADO 80X47 SIN MANIJAS BLANCO,,
VBAN05-0136-MRH-0100,RH MUEBLE BASICO ELEVADO 120X47 SIN MANIJAS BLANCO,,
VBAN05-0137-MRH-0100,RH MUEBLE ELEVADO LVM 44.5X43.5 SIN MANIJAS BLANCO,,
VBAN05-0138-MRH-0100,RH MUEBLE PISO LVM 44.5X43.5 BLANCO,,
VBAN05-0139-MRH-0100,RH MUEBLE CALDER ELEVADO LVM 48X43 SIN MANIJAS BLANCO,,
VBAN05-0140-MRH-0100,RH MUEBLE POLOCK ELEVADO LVM 63X48 BLANCO,,
VBAN05-0142-000-1353,MUEBLE BASICO PISO LVM 63X48 BLANCO RH/GRACIA-SIKUANI,,
VBAN06-0001-000-0100,ESPEJO CON LATERALES EN MADERA 50X60 MD268 BLANCO,OTRO FORMATO ETIQUETA,
VBAN06-0010-000-0100,GABINETE SUPERIOR ARMADO BA�O 40CM CON PUERTA BLANCO,OTRO FORMATO ETIQUETA,
VBAN06-0010-FMT-0100,GABINETE SUPERIOR ARMADO BA�O 40CM CON PUERTA BLANCO-FERMETAL,OTRO FORMATO ETIQUETA,
VBAN06-0011-000-0100,GABINETE SUPERIOR ARMADO BA�O 60CM BLANCO,OTRO FORMATO ETIQUETA,
VBAN06-0011-MRH-0100,RH GABINETE SUPERIOR ARMADO BA�O 60CM BLANCO,OTRO FORMATO ETIQUETA,
VBAN06-0012-000-0100,GABINETE UNICO CON ESPEJO ARMADO BA�O 48X60CM BLANCO,OTRO FORMATO ETIQUETA,
VBAN06-0013-000-0100,GABINETE UNICO CON ESPEJO ARMADO BA�O 63X60CM BLANCO,OTRO FORMATO ETIQUETA,
VBAN06-0014-000-0100,GABINETE UNICO CON ESPEJO ARMADO BA�O 79X60CM BLANCO,OTRO FORMATO ETIQUETA,
